time	V(ausgang)*I(I1)	V(n004)*I(V2)
1.703297366832854e-002	1.220531e+001	-6.337900e+000
1.703721412575272e-002	1.220107e+001	-6.333348e+000
1.704145458317690e-002	1.219683e+001	-6.328768e+000
1.704569504060108e-002	1.219259e+001	-6.324160e+000
1.704993549802527e-002	1.218835e+001	-6.319523e+000
1.705417595544945e-002	1.218411e+001	-6.314858e+000
1.706748972990657e-002	1.217080e+001	-6.300035e+000
1.708076655159674e-002	1.215752e+001	-6.284991e+000
1.709914323817452e-002	1.213914e+001	-6.263728e+000
1.711864607342084e-002	1.211964e+001	-6.240608e+000
1.714383701512046e-002	1.209445e+001	-6.209900e+000
1.717268178949039e-002	1.206560e+001	-6.173575e+000
1.721089310229573e-002	1.202739e+001	-6.123558e+000
1.725861633388648e-002	1.197967e+001	-6.058047e+000
1.732986774989598e-002	1.190842e+001	-5.954040e+000
1.743449362799754e-002	1.180379e+001	-5.787559e+000
1.764374538420055e-002	1.159454e+001	-5.408660e+000
1.804374538420051e-002	1.119454e+001	-4.563802e+000
1.844374538420046e-002	1.079454e+001	-3.609796e+000
1.884374538420042e-002	1.039454e+001	-2.600483e+000
1.924374538420037e-002	9.994540e+000	-1.605032e+000
1.964374538420033e-002	9.594540e+000	-6.920131e-001
